window,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,bidirectional_bytes,mean_packet_size,std_packet_size,flow_duration,tcp_syn_count,tcp_fin_count,tcp_rst_count,iat_mean,iat_std,bytes_per_packet,packets_per_second,label
0,192.168.96.216,169.167.153.154,29634,41622,tcp,29,28072,968.0,278.35540586593083,1.1212408194808885,0,0,0,0.038663476533823744,0.018545541227125532,968.0,25.86420285111133,0
0,10.18.103.91,51.9.28.180,58541,22,tcp,21,10605,505.0,65.5395714942944,0.9399565724820381,0,0,0,0.04475983678485896,0.00886561089990974,505.0,22.341457695803594,0
0,172.19.49.116,125.236.217.94,34070,46914,udp,30,15750,525.0,221.048445879784,1.137115999181107,0,0,0,0.03790386663937024,0.01496524294314501,525.0,26.382532671780602,0
0,192.168.161.76,229.58.164.149,27859,24764,tcp,27,32859,1217.0,382.1984457687362,4.021717748997606,0,0,0,0.14895250922213354,0.04103927380522968,1217.0,6.713549205865982,0
0,10.136.191.208,36.247.156.253,56250,25,udp,21,10752,512.0,123.03368821924857,0.015634550682753552,0,0,0,0.0007445024134644549,0.00019729822842451966,512.0,1343.1789903092686,0
0,172.27.0.69,9.20.249.195,11810,22,udp,18,15624,868.0,343.7433555378984,0.002936671056593965,0,0,0,0.00016314839203299806,7.911247030858153e-05,868.0,6129.38924827247,0
0,192.168.129.174,83.79.197.170,38305,53,tcp,39,15834,406.0,128.2333557448232,4.100349699834314,0,0,0,0.10513717179062343,0.042699100504550024,406.0,9.511383870886892,0
0,172.18.144.180,170.87.227.214,30532,123,udp,16,3920,245.0,93.95794327824456,0.13689521828499224,0,0,0,0.008555951142812015,0.0019069305965431036,245.0,116.87771275320047,0
0,10.236.180.249,6.37.176.206,40546,25,udp,43,17329,403.0,178.3769223547714,2.123513172132988,0,0,0,0.04938402725890669,0.02421604528025576,403.0,20.249462336420613,0
0,172.20.110.248,45.139.41.189,65182,25,udp,10,5270,527.0,251.61750099303876,3.7699828923302534,0,0,0,0.37699828923302536,0.05031150801567307,527.0,2.6525319306738098,0
0,172.25.105.135,8.22.48.227,60321,53,udp,50,46800,936.0,114.28694561470377,1.7333308542754167,0,0,0,0.03466661708550833,0.004036990448180863,936.0,28.84619510272404,0
0,192.168.17.164,57.246.68.182,20634,25,tcp,24,17856,744.0,323.640764730423,1.8136298072869586,0,0,0,0.0755679086369566,0.020523406222495814,744.0,13.233130544927485,0
0,10.124.253.17,178.139.106.142,37959,443,udp,9,10242,1138.0,434.98830098250977,2.7980023289686216,0,0,0,0.31088914766318015,0.13608374342433388,1138.0,3.2165805963848184,0
0,10.95.26.106,66.189.160.59,21164,25,tcp,14,17150,1225.0,273.06441686373563,1.9061193614992458,0,0,0,0.13615138296423185,0.05409022872771547,1225.0,7.344765644155879,0
0,172.17.254.124,24.216.238.236,44321,25,tcp,12,16152,1346.0,192.56712920498572,1.1407866730637433,0,0,0,0.09506555608864527,0.03148393751142013,1346.0,10.519056965990242,0
0,192.168.179.228,45.118.95.236,23924,123,udp,32,14176,443.0,187.99327478036457,1.206028575146217,0,0,0,0.03768839297331928,0.013312027654709157,443.0,26.5333679976201,0
0,172.22.132.168,27.198.25.213,19407,25,tcp,5,470,94.0,42.248153892068466,1.172760530745828,0,0,0,0.2345521061491656,0.06887117067815857,94.0,4.263444982088716,0
0,10.97.238.212,0.186.81.131,39627,51762,tcp,29,10121,349.0,59.53179747099484,4.08509544771074,0,0,0,0.1408653602658876,0.04536577494461219,349.0,7.0989773363193756,0
0,172.30.64.55,81.213.24.239,10379,25,tcp,32,36832,1151.0,233.50469387158898,4.202986550152401,0,0,0,0.13134332969226253,0.0330079533034207,1151.0,7.613633690747755,0
0,10.227.255.151,123.211.105.106,36072,80,udp,39,23556,604.0,170.16585709231256,0.43795254821703217,0,0,0,0.01122955251838544,0.003395679131780121,604.0,89.05074341678022,0
0,172.25.138.168,220.142.80.219,60340,22,tcp,39,48750,1250.0,405.79885473779,2.053885606347139,0,0,0,0.052663733496080486,0.01350407491929684,1250.0,18.988399295208065,0
0,10.36.140.7,90.122.86.128,26958,12172,tcp,29,29638,1022.0,368.83491221690724,1.414675752151553,0,0,0,0.04878192248798458,0.022006190342810518,1022.0,20.499397092156602,0
0,172.27.57.63,190.231.236.108,34555,40303,udp,2,1700,850.0,415.51346270526653,0.5253161168717885,0,0,0,0.26265805843589424,0.10949376205367868,850.0,3.807231371292823,0
